Relation Type,Source,Count,Example Source,Example Target
"OFFICER (EVP, COO & General Counsel)",SEC_FORM_4,1,McBride Daniel G,COOPER COMPANIES INC
"OFFICER (EVP, COO & Pres-CooperVision)",SEC_FORM_4,1,McBride Daniel G,COOPER COMPANIES INC
"OFFICER (EVP, COO & President Utilities)",SEC_FORM_4,1,Vegas Pablo,NISOURCE INC.
"OFFICER (EVP, COO)",SEC_FORM_4,1,Samborski Christopher William,MARTIN MARIETTA MATERIALS INC
"OFFICER (EVP, COO, Pres. New Enrgy Tech)",SEC_FORM_4,1,Falu Ricardo Manuel,AES CORP
"OFFICER (EVP, COO, Pres., Energy Infra.)",SEC_FORM_4,1,Rubiolo Juan Ignacio,AES CORP
"OFFICER (EVP, CP&SO)",SEC_FORM_4,1,Toussaint Claudia S,Xylem Inc.
"OFFICER (EVP, CPO and General Counsel)",SEC_FORM_4,1,Khichi Samrat S.,CVS HEALTH Corp
"OFFICER (EVP, CPO)",SEC_FORM_4,1,Smith Bryan Everard,"NASDAQ, INC."
"OFFICER (EVP, CPSO)",SEC_FORM_4,1,Toussaint Claudia S,Xylem Inc.
"OFFICER (EVP, CPXO)",SEC_FORM_4,1,Benjamin Eric,INSULET CORP
"OFFICER (EVP, CPXPO)",SEC_FORM_4,1,Benjamin Eric,INSULET CORP
"OFFICER (EVP, CRO, CCO MIAX Exchanges)",SEC_FORM_4,1,Deitzel Edward,"MIAMI INTERNATIONAL HOLDINGS, INC."
"OFFICER (EVP, CRO, Enterprise)",SEC_FORM_4,1,Norton James Michael,OUTFRONT Media Inc.
"OFFICER (EVP, CSO)",SEC_FORM_4,1,Sheffield Holly R,COOPER COMPANIES INC
"OFFICER (EVP, CSO, GC & Secretary)",SEC_FORM_4,1,Robertson Karla C,PENTAIR plc
"OFFICER (EVP, CT & Ops Off, GM Foundry)",SEC_FORM_4,1,Chandrasekaran Nagasubramaniyan,INTEL CORP
"OFFICER (EVP, CTO and Product Officer)",SEC_FORM_4,1,Deboer Scott J,MICRON TECHNOLOGY INC
"OFFICER (EVP, CTO and Products Officer)",SEC_FORM_4,1,Deboer Scott J,MICRON TECHNOLOGY INC
"OFFICER (EVP, CTO, Prod & D&A Officer)",SEC_FORM_4,1,Koehler Bryson R,EQUIFAX INC
"OFFICER (EVP, CTTO)",SEC_FORM_4,1,Bhathena Firdaus,S&P Global Inc.
"OFFICER (EVP, Ch Ppl Comms Ent Srvc Off)",SEC_FORM_4,1,Woodroffe Sean,LINCOLN NATIONAL CORP
"OFFICER (EVP, Ch. Investment Officer)",SEC_FORM_4,1,TYRRELL NATHAN S,"HOST HOTELS & RESORTS, INC."
"OFFICER (EVP, Ch. Legal Ofcr, Corp Secy)",SEC_FORM_4,1,COOK STEVEN M,PULTEGROUP INC/MI/
"OFFICER (EVP, Chf Mktng Offcr Pres CD)",SEC_FORM_4,1,Bruno Barry A.,CHURCH & DWIGHT CO INC /DE/
"OFFICER (EVP, Chf Mktng Offcr, Pres CD)",SEC_FORM_4,1,Bruno Barry A.,CHURCH & DWIGHT CO INC /DE/
"OFFICER (EVP, Chf Strategy Officer & GC)",SEC_FORM_4,1,Preston Michael L.,California Resources Corp
"OFFICER (EVP, Chf. Product &Tech Ofc.)",SEC_FORM_4,1,Achanta Shankar,FUELCELL ENERGY INC
"OFFICER (EVP, Chief  Accounting Officer)",SEC_FORM_4,1,Smith Maria,ORACLE CORP
"OFFICER (EVP, Chief Admin. Officer)",SEC_FORM_4,1,O'Callahan Elizabeth M,"NetApp, Inc."
"OFFICER (EVP, Chief Banking Officer)",SEC_FORM_4,1,Jackson Sharon L.,"FVCBankcorp, Inc."
"OFFICER (EVP, Chief Comm. Officer)",SEC_FORM_4,1,Steven James,Warner Music Group Corp.
"OFFICER (EVP, Chief Commercial officer)",SEC_FORM_4,1,Dozier Michael Joe,"BrightView Holdings, Inc."
"OFFICER (EVP, Chief Credit Officer)",SEC_FORM_4,1,STALLINGS JAMES C III,SEACOAST BANKING CORP OF FLORIDA
"OFFICER (EVP, Chief Customer Officer)",SEC_FORM_4,1,Weintraub Alexander J.,Duke Energy CORP
"OFFICER (EVP, Chief DDAT Officer)",SEC_FORM_4,1,Mandadi Tilak,CVS HEALTH Corp
"OFFICER (EVP, Chief Dev Officer-Peru)",SEC_FORM_4,1,Gehring Dean,NEWMONT Corp /DE/
"OFFICER (EVP, Chief Digital Growth Off)",SEC_FORM_4,1,Pokhriyal Surabhi,CHURCH & DWIGHT CO INC /DE/
"OFFICER (EVP, Chief Digital Officer)",SEC_FORM_4,1,Kim Michael,Claritev Corp
"OFFICER (EVP, Chief Exp & Tech Officer)",SEC_FORM_4,1,Mandadi Tilak,CVS HEALTH Corp
"OFFICER (EVP, Chief Experience & Tech)",SEC_FORM_4,1,Mandadi Tilak,CVS HEALTH Corp
"OFFICER (EVP, Chief GC & Corp. Sec.)",SEC_FORM_4,1,LaFreniere Nora E.,Otis Worldwide Corp
"OFFICER (EVP, Chief HR Officer - AIC)",SEC_FORM_4,1,Toohey Robert,ALLSTATE CORP
"OFFICER (EVP, Chief Human Res. Officer)",SEC_FORM_4,1,Osherova Maria,Warner Music Group Corp.
"OFFICER (EVP, Chief Info Off. -Sub)",SEC_FORM_4,1,KELLINGTON JOHN S,CINCINNATI FINANCIAL CORP
"OFFICER (EVP, Chief Innov & People Off)",SEC_FORM_4,1,Cafritz Diane L,CARMAX INC
"OFFICER (EVP, Chief Innovation Officer)",SEC_FORM_4,1,Edelstein David Benjamin,First Northwest Bancorp
"OFFICER (EVP, Chief Legal Off & Secret)",SEC_FORM_4,1,Rhodes Kevin H,3M CO
"OFFICER (EVP, Chief Legal Off. and Sec.)",SEC_FORM_4,1,Ralls-Morrison Desiree,MCDONALDS CORP
"OFFICER (EVP, Chief Legal Off.)",SEC_FORM_4,1,Ralls-Morrison Desiree,MCDONALDS CORP
"OFFICER (EVP, Chief Legal Officer & CCO)",SEC_FORM_4,1,Spainhour Sterling A Jr.,SOUTHERN CO
"OFFICER (EVP, Chief Legal Officer & Sec)",SEC_FORM_4,1,Torres John D,LENNOX INTERNATIONAL INC
"OFFICER (EVP, Chief Legal)",SEC_FORM_4,1,Sieving Charles E,NEXTERA ENERGY INC
"OFFICER (EVP, Chief Legal/Risk Officer)",SEC_FORM_4,1,Silver Mark S.,Ryerson Holding Corp
"OFFICER (EVP, Chief Lending Officer)",SEC_FORM_4,1,McRae Eric S,"FIRST MID BANCSHARES, INC."
"OFFICER (EVP, Chief Mktg & Stgy Officer)",SEC_FORM_4,1,McNab Paul,VIAVI SOLUTIONS INC.
"OFFICER (EVP, Chief Nuclear Officer)",SEC_FORM_4,1,BAKKEN A. CHRISTOPHER III,ENTERGY CORP /DE/
"OFFICER (EVP, Chief Op & Safety Officer)",SEC_FORM_4,1,Jefferson William Jr.,NISOURCE INC.
"OFFICER (EVP, Chief Op and Supply Chain)",SEC_FORM_4,1,Wordell Angela F,GRACO INC
"OFFICER (EVP, Chief Op. & Risk Officer)",SEC_FORM_4,1,Valine Yousef A.,FIRST HORIZON NATIONAL CORP
"OFFICER (EVP, Chief Patient Officer)",SEC_FORM_4,1,Gerberding Julie L.,"Merck & Co., Inc."
"OFFICER (EVP, Chief People & Safety Off)",SEC_FORM_4,1,Ballard Joey,"COVENANT LOGISTICS GROUP, INC."
"OFFICER (EVP, Chief Product Officer)",SEC_FORM_4,1,Klarich Lee,Palo Alto Networks Inc
"OFFICER (EVP, Chief Product, Delivery)",SEC_FORM_4,1,Zheng Peiming,Otis Worldwide Corp
"OFFICER (EVP, Chief Revenue Officer)",SEC_FORM_4,1,Zugelder Dan,"Dynatrace, Inc."
"OFFICER (EVP, Chief Risk & Rein Off)",SEC_FORM_4,1,James Mark Steven,CNA FINANCIAL CORP
"OFFICER (EVP, Chief Scientific Officer)",SEC_FORM_4,1,Artavanis-Tsakonas Spyridon,BIOGEN INC.
"OFFICER (EVP, Chief Strat. & Sustain.)",SEC_FORM_4,1,Toth Peter,NEWMONT Corp /DE/
"OFFICER (EVP, Chief Strategy & Analysis)",SEC_FORM_4,1,Argo Timothy,MID AMERICA APARTMENT COMMUNITIES INC.
"OFFICER (EVP, Chief Strategy & BDO)",SEC_FORM_4,1,Rodgers Thomas L,MCKESSON CORP
"OFFICER (EVP, Chief Strategy)",SEC_FORM_4,1,Graven Christina M,BROWN FORMAN CORP
"OFFICER (EVP, Chief Supply Chain Offcr)",SEC_FORM_4,1,Borzi James W,BAXTER INTERNATIONAL INC
"OFFICER (EVP, Chief Supply Chain Office)",SEC_FORM_4,1,Borzi James W,BAXTER INTERNATIONAL INC
"OFFICER (EVP, Chief Sustain & Dev Off)",SEC_FORM_4,1,Toth Peter,NEWMONT Corp /DE/
"OFFICER (EVP, Chief TO and Risk Officer)",SEC_FORM_4,1,Wengel Kathryn E,JOHNSON & JOHNSON
"OFFICER (EVP, Chief Tech & Innovation)",SEC_FORM_4,1,Fracchia Joseph,MID AMERICA APARTMENT COMMUNITIES INC.
"OFFICER (EVP, Chief Tech. & Enablement)",SEC_FORM_4,1,Turner Steven Allen,SLM Corp
"OFFICER (EVP, Chief Transformation Off)",SEC_FORM_4,1,Mayhew Jonathan E.,CVS HEALTH Corp
"OFFICER (EVP, Cont & Chief Acct Officer)",SEC_FORM_4,1,Boratto Eva C,CVS HEALTH Corp
"OFFICER (EVP, Control, Fin Plan & Tax)",SEC_FORM_4,1,WOODFORD BRENT,Walt Disney Co
"OFFICER (EVP, Controller & CAO)",SEC_FORM_4,1,Gill Charest Katherine,Paramount Skydance Corp
"OFFICER (EVP, Controller)",SEC_FORM_4,1,Hayden John W.,REINSURANCE GROUP OF AMERICA INC
"OFFICER (EVP, Controller, and CAO)",SEC_FORM_4,1,Knutson Christopher D.,GRACO INC
"OFFICER (EVP, Corp Controller, Info Sys)",SEC_FORM_4,1,Schoenrock Kathryn L,GRACO INC
"OFFICER (EVP, Corp Strategy & Bus Dev)",SEC_FORM_4,1,Flum Joshua Matthew,CVS HEALTH Corp
"OFFICER (EVP, Corp/Business Development)",SEC_FORM_4,1,Donahue John Timothy,VALMONT INDUSTRIES INC
"OFFICER (EVP, Corporate Affairs & GC)",SEC_FORM_4,1,Telman Deborah H,"GILEAD SCIENCES, INC."
"OFFICER (EVP, Corporate Affairs & HR)",SEC_FORM_4,1,Campbell Robert Dale,NISOURCE INC/DE
"OFFICER (EVP, Corporate Controller)",SEC_FORM_4,1,Knutson Christopher D.,GRACO INC
"OFFICER (EVP, Corporate Strategy)",SEC_FORM_4,1,Jermasek Douglas,"Unicycive Therapeutics, Inc."
"OFFICER (EVP, Dev and Cap Projects)",SEC_FORM_4,1,Wright Edward Thomas,MID AMERICA APARTMENT COMMUNITIES INC
"OFFICER (EVP, Diagnostics)",SEC_FORM_4,1,Vaughn Bryan T,LABCORP HOLDINGS INC.
"OFFICER (EVP, E. Regional Pres.)",SEC_FORM_4,1,ROTH ALAN TODD,REGENCY CENTERS CORP
"OFFICER (EVP, EMEA)",SEC_FORM_4,1,Herberg David,Adient plc
"OFFICER (EVP, ENT STRATEGY & DIGITAL)",SEC_FORM_4,1,Flum Joshua Matthew,CVS HEALTH Corp
"OFFICER (EVP, ERM & Chief Risk Officer)",SEC_FORM_4,1,OLIVO MARIA,"TRAVELERS COMPANIES, INC."
"OFFICER (EVP, Eng., Const. & ISC)",SEC_FORM_4,1,Reagan Ronald R,NEXTERA ENERGY INC
"OFFICER (EVP, Entergy Infrastructure)",SEC_FORM_4,1,BAKKEN A. CHRISTOPHER III,ENTERGY CORP /DE/
"OFFICER (EVP, Exploration)",SEC_FORM_4,1,McGrath Aoife,"Coeur Mining, Inc."
"OFFICER (EVP, Fin. & Chief Data Officer)",SEC_FORM_4,1,Wopata Mark,EquipmentShare.com Inc
"OFFICER (EVP, Finance)",SEC_FORM_4,1,Pearson James F,FIRSTENERGY CORP
"OFFICER (EVP, Fuels, CFO & Treasurer)",SEC_FORM_4,1,West Malynda K,Murphy USA Inc.
"OFFICER (EVP, GC & Chief PAO)",SEC_FORM_4,1,Cannon John,"WELLPOINT, INC"
"OFFICER (EVP, GC & Corporate Secretary)",SEC_FORM_4,1,Cuccia Kimberly S,NISOURCE INC.
"OFFICER (EVP, GC and Corp Sec)",SEC_FORM_4,1,Jordan William E.,EQT Corp
"OFFICER (EVP, GC and Corp. Sec.)",SEC_FORM_4,1,Sweeney Daniel T.,Prairie Operating Co.
"OFFICER (EVP, GC)",SEC_FORM_4,1,Swartz Allison,"Progyny, Inc."
"OFFICER (EVP, GC, CCO & Corp Sec)",SEC_FORM_4,1,Furey Raymond J.,RIGEL PHARMACEUTICALS INC
"OFFICER (EVP, GC, Chief Admin Off & Sec)",SEC_FORM_4,1,Moore Mary Ann E,"Pediatrix Medical Group, Inc."
"OFFICER (EVP, GC, Chief E&C Officer)",SEC_FORM_4,1,SIMON JOHN R,PG&E Corp
"OFFICER (EVP, GC, Corporate Secretary)",SEC_FORM_4,1,Huller Kelly,GLOBUS MEDICAL INC
"OFFICER (EVP, GC, Secretary & CCO)",SEC_FORM_4,1,Groman Daniel J,"Walker & Dunlop, Inc."
"OFFICER (EVP, GC, Secretary & CSRO)",SEC_FORM_4,1,Robertson Karla C,PENTAIR plc
"OFFICER (EVP, GEN COUNSEL & SECRETARY)",SEC_FORM_4,1,Neikirk Kenneth English,HELIX ENERGY SOLUTIONS GROUP INC
"OFFICER (EVP, GEN COUNSEL AND CORP SECR)",SEC_FORM_4,1,Malcarney Kevin P.,"Clearway Energy, Inc."
"OFFICER (EVP, GM - Data Center Group)",SEC_FORM_4,1,Shenoy Navin,INTEL CORP
"OFFICER (EVP, GM - Data Platforms Group)",SEC_FORM_4,1,Shenoy Navin,INTEL CORP
"OFFICER (EVP, GM CC & Physical AI Grp)",SEC_FORM_4,1,Katouzian Aliyar,INTEL CORP
"OFFICER (EVP, GM Data Centers & ALM)",SEC_FORM_4,1,Kidd Mark,IRON MOUNTAIN INC
"OFFICER (EVP, GM Digital Services)",SEC_FORM_4,1,Crenshaw Scott,EQUINIX INC
"OFFICER (EVP, GM of Compute HPC AI)",SEC_FORM_4,1,MacDonald Neil B,Hewlett Packard Enterprise Co
"OFFICER (EVP, GM of Compute)",SEC_FORM_4,1,MacDonald Neil B,Hewlett Packard Enterprise Co
"OFFICER (EVP, GM, CCG)",SEC_FORM_4,1,Bryant Gregory M,INTEL CORP
"OFFICER (EVP, GM, Data Center Services)",SEC_FORM_4,1,Lin Jonathan,EQUINIX INC
"OFFICER (EVP, GM, HPC and AI)",SEC_FORM_4,1,Hotard Justin,Hewlett Packard Enterprise Co
"OFFICER (EVP, GM, Hybrid Cloud & CTO)",SEC_FORM_4,1,RUSSO FIDELMA,Hewlett Packard Enterprise Co
"OFFICER (EVP, GM, Intelligent Edge)",SEC_FORM_4,1,Mottram Phil,Hewlett Packard Enterprise Co
"OFFICER (EVP, GM, Server)",SEC_FORM_4,1,MacDonald Neil B,Hewlett Packard Enterprise Co
"OFFICER (EVP, GM, Storage)",SEC_FORM_4,1,Black Thomas E Jr,Hewlett Packard Enterprise Co
"OFFICER (EVP, Gas Business Seg & CCO)",SEC_FORM_4,1,Vegas Pablo,NISOURCE INC/DE
"OFFICER (EVP, Gen Counsel and Secy)",SEC_FORM_4,1,Gordon Crystal L,Gogo Inc.
"OFFICER (EVP, Gen Counsel, Corp Sec'y)",SEC_FORM_4,1,Sheldon Todd N,PULTEGROUP INC/MI/
"OFFICER (EVP, Gen Counsel, Secretary)",SEC_FORM_4,1,Ainscow Donald George,ASP Isotopes Inc.
"OFFICER (EVP, Gen'l Counsel, Secretary)",SEC_FORM_4,1,Daley Dorian,ORACLE CORP
"OFFICER (EVP, Gen. Counsel & Corp Sec)",SEC_FORM_4,1,Donaldson Michael P,EOG RESOURCES INC
"OFFICER (EVP, Gen. Counsel & Corp. Sec.)",SEC_FORM_4,1,McLean Kerry J,INTUIT INC
"OFFICER (EVP, Gen. Counsel & Corp. Sect)",SEC_FORM_4,1,POWERS MATTHEW R,VAALCO ENERGY INC /DE/
"OFFICER (EVP, Gen. Counsel & Secy.)",SEC_FORM_4,1,Graham Jonathan P,AMGEN INC
"OFFICER (EVP, Gen.Counsel & Secretary)",SEC_FORM_4,1,Mcqueen Matthew Grant,WELLTOWER INC.
"OFFICER (EVP, GenCounsel, CCO & Sec.)",SEC_FORM_4,1,Cibik Melanie Susan,TELEDYNE TECHNOLOGIES INC
"OFFICER (EVP, General Counsel & CCO)",SEC_FORM_4,1,IVASCU JOHN C,"FORUM ENERGY TECHNOLOGIES, INC."
"OFFICER (EVP, General Counsel & Corp S)",SEC_FORM_4,1,Gravelle Michael L,"F&G Annuities & Life, Inc."
"OFFICER (EVP, General Counsel & Sec)",SEC_FORM_4,1,ENLOE COURTNEY C,"BIO-RAD LABORATORIES, INC."
"OFFICER (EVP, General Counsel and CRO)",SEC_FORM_4,1,MITCHELL ROBERT BRIAN,GLOBE LIFE INC.
"OFFICER (EVP, General Counsel and Sec)",SEC_FORM_4,1,Brown Timothy W.,PRINCIPAL FINANCIAL GROUP INC
"OFFICER (EVP, General Counsel, Sec)",SEC_FORM_4,1,Forman Alan N,"BRC Group Holdings, Inc."
"OFFICER (EVP, General Counsel, Secy.)",SEC_FORM_4,1,OHRINGER MARK,JONES LANG LASALLE INC
"OFFICER (EVP, General Counsel, and Secr)",SEC_FORM_4,1,Lamarque Natalie,PRINCIPAL FINANCIAL GROUP INC
"OFFICER (EVP, General Counsel,Secretary)",SEC_FORM_4,1,Carr Michael E Jr,BROWN FORMAN CORP
"OFFICER (EVP, Genl Counsel & Secretary)",SEC_FORM_4,1,KALETA PAUL J,"FIRST SOLAR, INC."
"OFFICER (EVP, Global Advisory Services)",SEC_FORM_4,1,Spector Adam Benjamin,FRANKLIN RESOURCES INC
"OFFICER (EVP, Global Affairs and CLO)",SEC_FORM_4,1,Schatz Jacob J.,ELECTRONIC ARTS INC.
"OFFICER (EVP, Global Brands President)",SEC_FORM_4,1,Broyles Jennifer H.,"Kontoor Brands, Inc."
"OFFICER (EVP, Global Business Lines)",SEC_FORM_4,1,Carre Eric,HALLIBURTON CO
"OFFICER (EVP, Global CIO)",SEC_FORM_4,1,Koka Durga Prasad,Cigna Group
"OFFICER (EVP, Global Comm. Operations)",SEC_FORM_4,1,Kingsley Stuart A,BIOGEN IDEC INC.
"OFFICER (EVP, Global Commercial Ops)",SEC_FORM_4,1,Gordon Murdo,AMGEN INC
"OFFICER (EVP, Global Commercial Ops.)",SEC_FORM_4,1,HOOPER ANTHONY C,AMGEN INC
"OFFICER (EVP, Global Human Resources)",SEC_FORM_4,1,REID ALAN McWILLIAMS,SANMINA CORP
"OFFICER (EVP, Global Manufacturing)",SEC_FORM_4,1,Alpuche Charles,INSULET CORP
"OFFICER (EVP, Global Operations Officer)",SEC_FORM_4,1,Finzel Ralf,INTERNATIONAL FLAVORS & FRAGRANCES INC
"OFFICER (EVP, Global Rest. Exp. Ofc.)",SEC_FORM_4,1,McDonald Gillian,MCDONALDS CORP
"OFFICER (EVP, Global Sales)",SEC_FORM_4,1,Tuszik Oliver,"CISCO SYSTEMS, INC."
"OFFICER (EVP, Global Services)",SEC_FORM_4,1,Jerome Christopher J,Unum Group
"OFFICER (EVP, Global Str Mktg & GM, MSD)",SEC_FORM_4,1,Henry David Philip,MKS INC
"OFFICER (EVP, Global Svcs & CFO)",SEC_FORM_4,1,Davis Robert M,"Merck & Co., Inc."
"OFFICER (EVP, Gov Business Division)",SEC_FORM_4,1,ZORETIC RICHARD C,"WELLPOINT, INC"
"OFFICER (EVP, Group General Counsel)",SEC_FORM_4,1,Tharoo Mustafa,IHS Holding Ltd
"OFFICER (EVP, Group Operations)",SEC_FORM_4,1,Hofmann Anton,Viking Holdings Ltd
"OFFICER (EVP, Group Pres, Kidney Care)",SEC_FORM_4,1,Toth Christopher A.,BAXTER INTERNATIONAL INC
"OFFICER (EVP, Group Pres, Med Products)",SEC_FORM_4,1,Knight Heather,BAXTER INTERNATIONAL INC
"OFFICER (EVP, Group Pres, Medical)",SEC_FORM_4,1,Knight Heather,BAXTER INTERNATIONAL INC
"OFFICER (EVP, Group President, Pharm)",SEC_FORM_4,1,Sonig Alok,BAXTER INTERNATIONAL INC
"OFFICER (EVP, Group President, Pharma)",SEC_FORM_4,1,Sonig Alok,BAXTER INTERNATIONAL INC
"OFFICER (EVP, Group Strategy & Corp. Op)",SEC_FORM_4,1,leibowitz joshua chad,CARNIVAL CORP
"OFFICER (EVP, Growth & Emerging Mkts)",SEC_FORM_4,1,Deckard Steven R,DOLLAR GENERAL CORP
"OFFICER (EVP, HR & Administration)",SEC_FORM_4,1,Pauley Lisa Ann,BALL Corp
"OFFICER (EVP, HR & Communications)",SEC_FORM_4,1,Stockdale Caroline,"FIRST SOLAR, INC."
"OFFICER (EVP, HR & Corp Services)",SEC_FORM_4,1,Caplan Deborah H,NEXTERA ENERGY INC
"OFFICER (EVP, HR and General Counsel)",SEC_FORM_4,1,Caneris Thomas A,LSI INDUSTRIES INC
"OFFICER (EVP, HR and IT)",SEC_FORM_4,1,Sgroi Susan,EVERSOURCE ENERGY
"OFFICER (EVP, HR)",SEC_FORM_4,1,Johnston Lori A,AMGEN INC
"OFFICER (EVP, Head Global Distribution)",SEC_FORM_4,1,Spector Adam Benjamin,FRANKLIN RESOURCES INC
"OFFICER (EVP, Head of Business Op)",SEC_FORM_4,1,Dierker Richard A,CHURCH & DWIGHT CO INC /DE/
"OFFICER (EVP, Head of Global Operations)",SEC_FORM_4,1,Sethi Alok,FRANKLIN RESOURCES INC
"OFFICER (EVP, Head of International)",SEC_FORM_4,1,Mazabraud Yann,"RHYTHM PHARMACEUTICALS, INC."
"OFFICER (EVP, Human Res & Corp Svcs)",SEC_FORM_4,1,Daggs Nicole J,NEXTERA ENERGY INC
"OFFICER (EVP, Innovation and Strategy)",SEC_FORM_4,1,Benjamin Eric,INSULET CORP
"OFFICER (EVP, Inv Rel and Corp Comm)",SEC_FORM_4,1,Yenicay Claire Marie,"Townsquare Media, Inc."
"OFFICER (EVP, KLA Global Services)",SEC_FORM_4,1,Lorig Brian,KLA CORP
"OFFICER (EVP, Law, Strategy and Policy)",SEC_FORM_4,1,SIMON JOHN R,PG&E Corp
"OFFICER (EVP, Legal and Land)",SEC_FORM_4,1,Abraham Phillip D,GRAN TIERRA ENERGY INC.
"OFFICER (EVP, M&A and Corporate Affairs)",SEC_FORM_4,1,Moriarty Thomas M,"Albertsons Companies, Inc."
"OFFICER (EVP, Man. Director - Aviation)",SEC_FORM_4,1,Straub Philip,GARMIN LTD
"OFFICER (EVP, Man., Logistics and Op Ex)",SEC_FORM_4,1,Karlborg Anders,Vertiv Holdings Co
"OFFICER (EVP, Maritime)",SEC_FORM_4,1,Kulovaara Harri U,ROYAL CARIBBEAN CRUISES LTD
"OFFICER (EVP, Marketing)",SEC_FORM_4,1,Marnell Richard,Viking Holdings Ltd
"OFFICER (EVP, Merchandising)",SEC_FORM_4,1,Gill John Linwood,HAVERTY FURNITURE COMPANIES INC
"OFFICER (EVP, NATIONAL SALES)",SEC_FORM_4,1,Butler Amy M,NORTHPOINTE BANCSHARES INC
"OFFICER (EVP, NIPSCO)",SEC_FORM_4,1,Sistovaris Violet,NISOURCE INC/DE
"OFFICER (EVP, North Am & Vet Strategy)",SEC_FORM_4,1,WEINRAUCH STEVE,"TRUPANION, INC."
"OFFICER (EVP, Nuclear Div & CNO)",SEC_FORM_4,1,Coffey Robert,NEXTERA ENERGY INC
"OFFICER (EVP, Nuclear Operations)",SEC_FORM_4,1,MUSHAKOV ANDREY,LIGHTBRIDGE Corp
"OFFICER (EVP, Oncology & Int?l)",SEC_FORM_4,1,Oosthuizen Johannes Jacobus,"Merck & Co., Inc."
"OFFICER (EVP, Operations & Development)",SEC_FORM_4,1,STOCKTON KEVIN A,COMMUNITY HEALTH SYSTEMS INC
"OFFICER (EVP, Operations & IT)",SEC_FORM_4,1,COLLAZO ANDRES,"USCB FINANCIAL HOLDINGS, INC."
"OFFICER (EVP, Operations, President ONG)",SEC_FORM_4,1,Wordell Angela F,GRACO INC
"OFFICER (EVP, Optical & CC Grp)",SEC_FORM_4,1,Nguyen Loi,"Marvell Technology, Inc."
"OFFICER (EVP, PRES INTERNATIONAL)",SEC_FORM_4,1,Doria Gregory,LINCOLN ELECTRIC HOLDINGS INC
"OFFICER (EVP, People and Communications)",SEC_FORM_4,1,Rutherford Linda B.,SOUTHWEST AIRLINES CO
"OFFICER (EVP, Performance Management)",SEC_FORM_4,1,Merad Abdellah,SCHLUMBERGER LIMITED/NV
"OFFICER (EVP, Policy & General Counsel)",SEC_FORM_4,1,Greenberg Monica L.,LIVEPERSON INC
"OFFICER (EVP, Power Generation Division)",SEC_FORM_4,1,Arechabala Miguel,NEXTERA ENERGY INC
"OFFICER (EVP, Pres GM Networking)",SEC_FORM_4,1,rahim rami,Hewlett Packard Enterprise Co
"OFFICER (EVP, Pres Workforce Solutions)",SEC_FORM_4,1,Ploder Rodolfo O,EQUIFAX INC
"OFFICER (EVP, Pres of TCB Hudson Valley)",SEC_FORM_4,1,DeMilia David M,TOMPKINS FINANCIAL CORP
"OFFICER (EVP, Pres&CEO, Closed Blk Ops)",SEC_FORM_4,1,McGarry John F,Unum Group
"OFFICER (EVP, Pres. - Spec. and FF&T)",SEC_FORM_4,1,SMITH ROBERT S JR,LEGGETT & PLATT INC
"OFFICER (EVP, Pres. Tompkins Comm. Bank)",SEC_FORM_4,1,McKenna John M,TOMPKINS FINANCIAL CORP
"OFFICER (EVP, Pres. US&Glob. Bus. Lines)",SEC_FORM_4,1,Nebreda Julian,AES CORP
"OFFICER (EVP, President & CEO, Unum US)",SEC_FORM_4,1,Simonds Michael Q,Unum Group
"OFFICER (EVP, President & COO RHC)",SEC_FORM_4,1,Young Douglas L,LENNOX INTERNATIONAL INC
"OFFICER (EVP, President & COO of WWR)",SEC_FORM_4,1,Moon David W,LENNOX INTERNATIONAL INC
"OFFICER (EVP, President Americas & CMO)",SEC_FORM_4,1,Ezell Antoine C,BECTON DICKINSON & CO
"OFFICER (EVP, President Int. Businesses)",SEC_FORM_4,1,Rubiolo Juan Ignacio,AES CORP
"OFFICER (EVP, President NA & CMO)",SEC_FORM_4,1,Ezell Antoine C,BECTON DICKINSON & CO
"OFFICER (EVP, President and COO, WWR)",SEC_FORM_4,1,Bedard Gary S,LENNOX INTERNATIONAL INC
"OFFICER (EVP, President of Diagnostics)",SEC_FORM_4,1,Caveney Brian J,LABORATORY CORP OF AMERICA HOLDINGS
"OFFICER (EVP, President, CDG)",SEC_FORM_4,1,ENGELHARDT EVA ANETTE,"BIO-RAD LABORATORIES, INC."
"OFFICER (EVP, President, MITG)",SEC_FORM_4,1,Hanson Bryan C,Medtronic plc
"OFFICER (EVP, President, NA & CMO)",SEC_FORM_4,1,Ezell Antoine C,BECTON DICKINSON & CO
"OFFICER (EVP, President, Outdoor Div)",SEC_FORM_4,1,Reilly Ross Lamar,LAMAR ADVERTISING CO/NEW
"OFFICER (EVP, President-Diagnostics Lab)",SEC_FORM_4,1,Schroeder Mark S,LABORATORY CORP OF AMERICA HOLDINGS
"OFFICER (EVP, Principal Asia)",SEC_FORM_4,1,Cheong Wee Yee,PRINCIPAL FINANCIAL GROUP INC
"OFFICER (EVP, Principal Financial Offcr)",SEC_FORM_4,1,KEHRING DOUGLAS A,ORACLE CORP
"OFFICER (EVP, Principal Latin American)",SEC_FORM_4,1,Walker Roberto,PRINCIPAL FINANCIAL GROUP INC
"OFFICER (EVP, Pro)",SEC_FORM_4,1,Rowe Michael F.,"HOME DEPOT, INC."
"OFFICER (EVP, Product & Engineering)",SEC_FORM_4,1,Goldberg Chen,"CoreWeave, Inc."
